Route,Direction,Stop Title,Stop Tag,Time (hh:mm:ss),Timepoint Type
courthill,in,Burlington Street and Dubuque Street,burldubu_i,   ,
courthill,in,Downtown Interchange - Hidden Arrival,downinte_a, 07:40:00 ,SchedArrival
lakeside,out,Downtown Interchange,downinteb_o, 07:45:00 ,BreakPoint
lakeside,out,US Post Office,usposto_o,   ,
lakeside,out,Court Street  and Dubuque Street,courdubu_o,   ,
lakeside,out,Court Street  and Gilbert Street,courgilb_o,   ,
lakeside,out,Gilbert Street and Prentiss Street,gilbpren_o,   ,
lakeside,out,Gilbert Street and Benton Street,gilbben_o,   ,
lakeside,out,Gilbert Street and Kirkwood Avenue,gilbkirk_o, 07:51:00 ,SchedPoint
lakeside,out,Gilbert Street and 3rd Avenue,gilb3rd_o,   ,
lakeside,out,Hy Vee,hyvee_o,   ,
lakeside,out,Boyrum Street and Southgate Avenue,boyrsout_o,   ,
lakeside,out,Southgate Avenue and Keokuk Street,sgatekuk_o, 07:55:00 ,SchedPoint
lakeside,out,Keokuk Street and Cross Park Avenue,keokcros_o,   ,
lakeside,out,Sandusky Drive and Hickory Court,sandhick_o,   ,
lakeside,out,Sandusky Drive and Broadway Street,sandbroa_o,   ,
lakeside,out,Sandusky Drive and Taylor Drive,sandtayl_o,   ,
lakeside,out,Taylor Drive and Hollywood Blvd.,taylholl_o,   ,
lakeside,out,Hollywood Blvd. Mid -block,hollmidb_o,   ,
lakeside,out,Hollywood Blvd. and Sycamore Street,hollsyca_o,   ,
lakeside,out,Hollywood Blvd. and Delwood Drive,holldelw_o,   ,
lakeside,out,Hollywood Blvd. and Grantwood Street,hollgran_o,   ,
lakeside,out,Hollywood Blvd. and Fairmeadows Blvd.,hollfair_o,   ,
lakeside,out,Hollywood Blvd. and Frontage Road,hollfron_o, 08:00:00 ,SchedPoint
lakeside,out,Dolphin Point Enclave,dolppoin_o,   ,
lakeside,out,Frontage Road and Lakeside Drive,fronlake_o,   ,
lakeside,out,Frontage Road,fronroad_o,   ,
lakeside,out,Bon Aire Mobile Home Lodge - Arrival,bonaire_o, 08:03:00 ,SchedPoint
lakeside,in,Bon Aire Mobile Home Lodge,bonaire_i, 08:08:00 ,TimePoint
lakeside,in,Riviera Drive and Frontage Road,rivifron_i,   ,
lakeside,in,Frontage Road and Lakeside Drive,fronlake_i,   ,
lakeside,in,Lakeside Drive and Nevada Avenue,lakeneva_i,   ,
lakeside,in,Lakeside Drive and Whispering Prairie Avenue,lakewhis_i,   ,
lakeside,in,Lakeside Drive and Miami Drive,lakemiam_i,   ,
lakeside,in,Miami Drive and California Avenue,miamcalf_i, 08:11:00 ,SchedPoint
lakeside,in,California Avenue and Union Avenue,caliunio_i,   ,
lakeside,in,Grantwood Elementary,granelem_i,   ,
lakeside,in,California Avenue and Sycamore Street,calisyca_i,   ,
lakeside,in,Burns Avenue and California Avenue,burncali_i,   ,
lakeside,in,Burns Avenue and Taylor Drive,burntayl_i,   ,
lakeside,in,Taylor Drive and Sandusky Drive,taylsand_i,   ,
lakeside,in,Sandusky Drive and Broadway Street,sandbroa_i,   ,
lakeside,in,Sandusky Drive and Keokuk Street,sandkeok_i,   ,
lakeside,in,Keokuk Street and Cross Park Avenue,keokcros_i,   ,
lakeside,in,K-Mart,kmart_i, 08:17:00 ,SchedPoint
lakeside,in,Southgate Avenue and Boyrum Street,soutboyr_i,   ,
lakeside,in,Hy Vee,hyvee_i,   ,
lakeside,in,Gilbert Street and 3rd Avenue,gilb3rd_i,   ,
